tipo;prefijo;nombre;activo;codigos_ref
marca;3B;3B;si;
marca;AA;A.A.;si;
marca;SP;A.M.C;no;
marca;AC;AceroMetal;si;
marca;AE;Eurasia;si;
marca;AJ;Ajusa;si;
marca;AK;Akuro;si;
marca;AO;Amoroso;si;
marca;PA;Arduino;si;ATPA 6594 | ATPA 6595
marca;AM;Argen-Maq;si;
marca;AS;Asiaticos;si;
marca;AU;AutoLinea;si;
marca;BH;Bayerque;si;
marca;BZ;Baztarrica;si;
marca;BL;BLK Diesel;si;
marca;FX;Borgonova;si;
marca;BT;BTA;no;HEBT132020 | HEBT191206
marca;BU;Buxton;si;
marca;BY;BYC;si;BDBY 136
marca;CL;Carpla;no;
marca;CT;Centrinel;si;
marca;CP;Cepall;si;
marca;CH;Champion;si;BECH CJ8 | BPCH 0139
marca;CY;Chrysler Original;si;MOCY7095928
marca;C;Clapp;si;F C 8189 STD
marca;NH;CNH;si;
marca;CR;Cordero;si;BRCR152004 | BRCR152005 | BRCR152006
marca;DY;Correas Dayco;si;CODY059P7.43M1 | CODY065SHP+127 | CODY070SP160H
marca;CO;Corteco;si;
marca;CA;CRAC;si;
marca;CK;Crako;si;
marca;CU;Cummins Original;si;
marca;PB;DC;no;
marca;DE;Deutz Original;si;
marca;DC;Difac;si;
marca;DW;Dowel;si;G DW490B03102 | P DW498B040011
marca;DU;Duncan;si;
marca;EF;E.F.N.;si;
marca;EL;ELF;si;LUEL203906
marca;EA;Eurasia;si;
marca;FM;F.Mogul Importado;si;A FM114907 0.5
marca;CE;Fadecya;si;
marca;FA;Fallone;si;
marca;FE;Fapersa;si;
marca;F;Federal Mogul;si;
marca;FT;Fenix Pavan;si;
marca;FI;Fiat Original;si;
marca;FO;Ford Original;si;
marca;FS;FOS;si;CTFS 700
marca;FP;FP Diesel;si;
marca;G;Garbossa;si;CDG 476 | CDG 482 | CDG 506E
marca;GL;Glyco;si;
marca;GM;GM Original;si;
marca;GO;Goetze;si;A GO181700 STD
marca;HD;Heavy Duty;si;
marca;HE;Helicoil;no;HEHE 190312
marca;IL;Illinois;si;JCIL1150700 | JCIL1150800
marca;AH;Importadas;si;G AH6150111140
marca;EZ;Importado;si;
marca;IA;INA;si;TZIA110483/3 | TZIA123305/1 | TZIA239678
marca;ID;Indenor Original;si;RVID XD2-3
marca;I;Indubron;si;
marca;IY;INDY;si;
marca;IV;Iveco Original;si;
marca;JM;J.M.;si;BAJMJD-B70
marca;JD;John Deere Alternativo;si;
marca;KG;King;si;
marca;KM;KMP Brand;si;
marca;KT;KMP Brands;si;
marca;KS;KS;si;
marca;KU;Kubota Original;si;
marca;LP;La Plata;si;
marca;LS;Lister Petter;si;S LS128401040
marca;LO;Loctite;si;SELO18581 | SELO18718 | SELO23435
marca;LU;Lujor;si;CRLU 099 | CRLU 100-M
marca;ME;M. Benz Original;si;
marca;MH;M.H.;si;
marca;MA;Maet;si;
marca;MG;Magrini;si;
marca;BE;Mahle;si;
marca;MN;Maringa;si;
marca;MM;Master Parts;si;
marca;MO;Maxiforce;si;
marca;MX;Maxion Original;si;
marca;MT;Metalgama;si;
marca;MI;MIBA;si;
marca;MU;Motor Plus;si;
marca;MJ;Motores Japoneses;si;
marca;MS;Mpis;si;
marca;MW;MWM Original;si;
marca;NV;Navistar;si;
marca;B;Nubo;si;ARB 1227
marca;NB;Nubo;si;
marca;OC;O. Cravero;si;PGOC10000 | PGOC10001 | PGOC10003
marca;OD;Oddi;si;
marca;JO;Ombu;si;IBJO 1450 38 | IBJO 1450 40 | IBJO 1450 42
marca;PP;Pampa;si;OCPP15459 | OCPP15727 | OCPP27457
marca;PL;Pellacani;si;
marca;P;Perfect Circle;si;
marca;PT;Perkins Alternativo;si;
marca;PK;Perkins Orig.;si;
marca;PS;Persan;si;
marca;PE;Pescara;si;
marca;PF;Pesefa;si;E PF 010 | E PF 095 | E PF4008
marca;PW;Power Engine;si;
marca;RD;RD;si;RERD 056T
marca;RE;Renault Original;si;
marca;R;RYC;si;
marca;SA;SABI;si;
marca;SO;SABO;si;
marca;SR;Seeger Reno;si;
marca;SC;Shadek;si;
marca;SI;Silva;si;
