                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
,,,,,[mm],,,,
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 30 MM X 22 MM X 9 MM,NUEVO/NEW,A6690,A / E,30,22,9,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 36MM X 27 MM X 10 MM,NUEVO/NEW,A6691,A / E,36,27,10,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 39MM X 27 MM X 10 MM,NUEVO/NEW,A9962,A / E,39,27,10,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 40MM X 31 MM X 10 MM,NUEVO/NEW,A6693,A / E,40,31,10,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 60MM X 44 MM X 12 MM,NUEVO/NEW,A6699,A / E,60,44,12,45º,6
ADAPTACIONES (semi-finished),"Para motores de GNC y TURBO ADAPTACION 43,50MM X 30 MM X 10 MM",NUEVO/NEW,A6694,A / E,43.5,30,10,45º,6
ADAPTACIONES (semi-finished),"Para motores de GNC y TURBO ADAPTACION 44,50MM X 31 MM X 10MM",NUEVO/NEW,A6695,A / E,44.5,31,10,45º,6
ADAPTACIONES (semi-finished),"Para motores de GNC y TURBO ADAPTACION 46,50MM X 34 MM X 10 MM",NUEVO/NEW,A6696,A / E,46.5,34,10,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 48MM X 35 MM X 10 MM,NUEVO/NEW,A6697,A / E,48,35,10,45º,6
ADAPTACIONES (semi-finished),Para motores de GNC y TURBO ADAPTACION 55MM X 44 MM X 10 MM,NUEVO/NEW,A6698,A / E,55,44,10,45º,6
ALCO,"ASIENTO VALV. ALCO ADM
 251-16V-9X10-1/2",222118-17,A5177,ESC,80.86,67,14.3,30º,0
ALCO,"ASIENTO VALV. ALCO ESC
 251-16V-9X10-1/2",222118-15,A5178,ESC,80.86,67.5,13.55,45º,0
AUDI,ASIENTO VALV. AUDI ESC - 4000 S 5000S QUATTROWAGON,,A5180,ESC,33.05,27.7,7.5,45º,4
AUDI,ASIENTO VALV. AUDI ADM - 4000 S 5000S QUATTROWAGON,,A5179,ADM,35.05,29,8,45º,4
BEDFORD,ASIENTO VALV. BEDFORD 57/70 ESC -  BEDFORD-CHEVROLET 4,,A5239,ESC,45,33,9,30º,6
BEDFORD, ASIENTO VALV.BEDFORD 57/70 ADM. -CHEVROLET 6 -  57/70 ADM,,A5240,ADM,48,35,7,30º,4
BORGWARD,"ASIENTO VALV. VM BORGWARD ESC
 VM HR88/92 Normal",,A5092,ESC,35.03,28,8,45º,4
BORGWARD,"ASIENTO VALV.  BORGWARD ESC
 VM HR88/92/94 H-HT-Turbo Diesel",20440027B02,A5281,ESC,36.06,29,7,45º,6
BORGWARD,"ASIENTO VALV. VM BORGWARD ADM
 VM HR88/92/94 H-HT-Turbo Diesel",20440019B02,A5091,ADM,42.08,34,8,35º,4
BORGWARD,ASIENTO VALV.VM BORGWARD,20440026A06,A5639,ADM,49.07,39,9.55,30º,6
CASE,ASIENTO VALV. CASE 830 A-E,,A5143,A-E,44.08,35.3,8.3,45º,6
CATERPILLAR,ASIENTO VALV.CATERPILLAR  2106 3204,,A5162,ESC,41.92,32.5,8.9,45º,6
CATERPILLAR,"ASIENTO VALV.CATERPILLAR 3126E  ADM.
442 C.I (7.2L) 3126B C7 18V (12ADM, 6 ESC) ACERT",1559504,A5673,ADM,42.06,35.8,6.55,30º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR D343 ESC,
 3406/3408/3412-D343D3",9S 9699 - 1W 5283,A5029,ESC,42.85,36.5,9.27,45º,6
CATERPILLAR,"ASIENTO VALV.CATERPILLAR 3114 ESC.
4C / 3,116 6C 30º  120H GMC  12-170 Cod, viejo A5034",1W 2713,A5554,ESC,43,37,5.95,30º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR D343 ADM.
 3406/3408/3412-D343D3",9M 3205 - 4N 5893,A5028,ADM,46.02,39.68,9.27,45º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3208 ESC
 3204/3208 N.A, 3204/3208 Turbo",9N 2837,A5299,ESC,48.56,41.27,7.14,45º,0
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3114 ADM.
 3,114 4C / 3,116 6C 30º  120H GMC  12-170 Cod, viejo A5035",126 0453 - 7W 8065,A5553,ADM,50,43.3,5.95,30º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR  3304-3306 ESC,",2W 4837,A5496,ESC,50.89,43,8,7º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR  3306 ESC
 D330C, D333C, 3304, 3306, 977, 1673 cc",5S 7221 - 1W 5321,A5013,ESC,51.1,42.92,11.12,30º,6
CATERPILLAR,ASIENTO VALV. CATERPILLAR 3304-3306 ADM.,7N 4448,A5497,ADM,52.03,44.9,8.5,11º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3306 ADM,
 D330C, D333C, 3304, 3306, 977, 1673 cc",5S 7218,A5012,ADM,54.07,45.97,11.12,30º,4
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3204 ADM.
 3204/3208 N.A, 3204/3208 Turbo",2N 8943,A5181,ADM,54.61,47.23,7.42,45º,8
CATERPILLAR,ASIENTO VALV. CATERPILLAR CT150-A002 3500 GNC A-E,6I-1713,A5548,A-E,60.12,48,11.7,20º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR ESC.
 D353/79/98,G353/79/98/99,D399/D9",8M 4014,A5406,ESC,61.85,53.98,15.88,45º,0
CATERPILLAR,"ASIENTO VALV. CATERPILLAR D8 ESC.
 3306 Asp Normal y Turbo",8M-9810,A5011,ESC,63.6,50.8,12.7,45º,6
CATERPILLAR,ASIENTO VALV. CATERPILLAR ADM.  3306 Asp Normal y Turbo,9M 8745,A5014,ADM,63.6,52.4,12.7,45º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR ADM.
 D353/79/98,G353/79/98/99,D399/D9",5S 1757,A5405,ADM,65.79,57.95,15.88,45º,0
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3126E ESC,
442 C.I (7.2L) 3126B C7 18V (12ADM, 6 ESC) ACERT",1478218,A5672,ESC,46.07,39.4,6.1,45º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 1673 CA ESC,",,A5361,ESC,49.2,39.7,11.1,45º,6
CATERPILLAR,3406/3408/3412 C15--C32 - ADAPTACION,,A9292,ESC,42.85,36.38,9.27,45°,
