Marca/Make,Motor/Engine,Nº Original /,N°300-INDY,A/E, D.E , D.I ,H,µ, Cant. por juego /
,,OEM #,,,,,,,QTY per box 
JOHN DEERE,"EXHAUST STD. 6081 8.1L Tier 1 - 2 - 3 from ESN 200,000 / 6 Cyl",R119132, A6770 , ESC ,49.1,36.7,6.1,30º,6
JOHN DEERE,"INTAKE STD. 6081 8.1L Tier 2 - 3 from ESN 199,999 - 200,000 / 6 Cyl",R121193, A6771 , ADM ,52.08,44.4,6.1,30º,6
JOHN DEERE,John Deere PowerTech 6090 9.0L / TIER 2 - 3 / 6 Cyl,R527285, A6769 , A/E ,41.61,35.5,5.5,30º,4 o 6
JOHN DEERE,"TIER 3 - 6,8 T/H - 6,8T - 6,8D - 4,5 T/H - 4,5T - 4,5D",TR85687, A6772 , ESC ,43.07,34.2,6.18,30º,4 o 6
JOHN DEERE,TIER 3 - 6.8T/H - 6.8T - 6.8D - 4.5T/H - 4.5 T- 4.5 D,TR98063, A6773 , ADM ,47.16,39.5,6.55,30º,4 o 6
JOHN DEERE,4045/60 PowerTech For Tier 2 & Tier 3 Applications - 6 CyL / 4 CyL,TRE518082, A6775 , ADM ,37.5,30.5,6.25,30º,4 o 6
JOHN DEERE,PowerTech - 6068T/H / 4045T/H -For Tier 2 & Tier 3 Applications,TRE518083, A6776 ,,36.5,28.5,6,25°,
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC / V-TRONIC (15.190)",07W-103-441,A6767, ESC ,36.1,28.4,6.55, 45° ,6
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC / V-TRONIC (15.190)",07W-103-441,A6767T, ESC ,35.95,28.4,6.55, 45° ,6
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ADM / V-TRONIC (15.190)",07W-103-431,A6766, ADM ,40.08,30.25,8.3, 30° ,6
PERKINS,"MOT. 6-354/4-236/6-35,26-354,4 TURBO / 6 Cyl",33152155, A6774 , ADM ,51.3,40.3,7.2,,6
PEUGEOT,ASIENTO VALV.PEUGEOT 308 THP ESCAPE,,A6768,ESC,27.65,22,7,,4
VOLKSWAGEN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC",,A6767, ESC ,36.1,28.4,6.55, 45° ,6
VOLKSWAGEN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ADM",,A6766, ADM ,40.08,30.25,8.3, 30° ,6
