,,,,,,,,
,,,ASIENTOS de VALVULAS - VALVE SEATS,,,,,
,,,TEMPLADOS Y REVENIDOS SEGÚN NORMAS ORIGINALES,,,,,
Código NUBO,Nº Riosulense,Nº Original,Marca y Modelo,Tipo,Diámentro Exterior,Diámetro Interior,Altura,Angulo
,,OEM,OEM  Name / Application,,D,d,,
,,,BEDFORD,,,,,
C256,,,350,A,48,35,7,30º
C104,,,,E,45.03,33,9,30º
,,,BORGWARD,,,,,
C100 A,,20440019B02,VM 4.92 T,A,42.03,34,8,35º
C100 E,,20440027B02,,E,35.03,28,8,45º
,,,CATERPILLAR,,,,,
C103,23534000,5S7221,977 / D7F - D330C-3306-977,E,50.9,42.9,11.1,45º
C102,23537000,5S7218,,A,54.05,46,11.1,30º
C272,23578000,2W4837,D6 955 - 977 - D330C,E,50.8,43,8,
C273,23580000,7N4448,,A,52.05,45,8.5,30º
,,,CHEVROLET,,,,,
C199,,,CORSA 1.0/1.4/1.6 8V - VECTRA 2.0,A,39.25,33,6,45º
C200,,,,E,32.65,26.5,6,45º
C105,,,230 - 250 GNC,A,46,39,7,45º
C106,,,,E,39.5,32,7,45º
C307,,,CORSA - TIGRA - VECTRA 16V,A,31.75,27.5,6,45º
C308,,,,E,28.25,22,6,45º
C309,,,VECTRA - KADETT - MONZA 2.0 / 2.2,A,44.65,37,7.7,45º
C310,,,,E,37.65,30.15,7.7,45º
C393,,,AVEO,A,32.1,26,7,
C398,,,,E,29.55,24,7,
C389,,,NUVIRA,A,33.8,28.5,6,
C397,,,,E,30.1,24.2,6,
C410,,,DIMAX 24 VALV. GASOLINA,A,36.14,29.5,6,
C411,,,,E,33.25,25.7,6.2,
C365,,,DIMAX,A,44.65,37,8.5,
C379,,,,E,37.65,32,8.5,
C415,,,DIMAX DIESEL 3000,,42.8,35.8,6.6,
C416,,,DIMAX DIESEL 3000,,36.9,30.08,6.3,
C430,,,AVEO ,E,30.7,23,8,
C470,,,"ASTRA 2,6",A,44.69,36.95,7.65,
C471,,,,E,37.67,30.1,7.65,
,,,CUMMINS,,,,,
C274,23540015,TE3109429,SERIE C - VW 14220 - 17220 - 24220 - 26300 - 17300,A,54,44,8.2,30º
C268,23541015,394716,,E,47.1,40,6.35,45º
C275,23834015,3904105,SERIE B  - F250 - F350 - F4000- VW 12170,E,43.74,34.5,6.7,45º
C276,23835015,3906854,,A,47.08,38,6.9,30º
C107,,127930,230,AE,50.87,42.9,7.1,30º
C108,,,,E,50.78,42.9,7.1,30º
C333,,,"ELECTRONICO TURBO 5,9 ISB ",A,34.92,28,5.75,30º
C334,,,,E,34.92,28,5.75,45º
C335,,,ELECTRONICO ISC 24V,A,39.5,32.5,6,
C336,,,,E,39.5,33,5,
C344,,,ELECTRONICO 4 Y 6 MODIF ,AE,35,28,6.2,
C358,,,ISX,A,50.65,41.55,5,
C359,,,,E,47.6,39.6,6,
,,,,,,,,
C455,,,ISM,E,46.08,36,6,
C460,,,SERIE B    ,,47.4,38,7,
,,,DEUTZ,,,,,
C143,,,2114 - 1114,A,53.16,44.15,11.5,45º
C144,,,,E,47.16,41.3,11.5,45º
C111,,3358917,514,A,47.18,41.2,10,30º
C112,,3358922,,E,44.18,38.2,11,30º
C109,,2137302,913,A,45.65,36,10,45º
C110,,2137306,,E,40.17,31,9.75,45º
C271,,,,A,45.65,36,10,30º
C271,,,913 A 30*,A,45,35.5,9.85,30
C345,,,913 GAS,E,40.17,31,9.75,30
C337,,,1013,A,49.15,41,7.1,
C338,,,,E,43.66,34.9,7.5,
,,,1013 RECTO,E,43.66,34.9,7.5,
C339,,,2015,A,47.8,38.8,8.5,
C340,,,,E,44.15,35,8.7,
C477,,,2015 GAS,A,47.8,38.8,8.5,
C478,,,,E,44.2,34.7,8.75,
C441,,,413 GAS,A,,,,
C442,,,,E,49,40,11.5,
,,,"TCD/TD 2,9 L4",,42.6,35.2,7.7,
,,,,,42.6,34.5,7.4,
,,,"TCD 3,6 L04",A,,,,
,,,,E,,,,
,,,FL 2011,E,,,,
,,,FL 2011 45*,A,,,,
,,,BF 2011 30*,A,,,,
,,,DODGE ,,,,,
C113,,,1500,A,39.5,31.7,7,45º
C114,,,,E,33,26,7,45º
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,FIAT,,,,,
C117,25622070,76190750,MOTOR 1300 -1.3 DIESEL,A,34.6,28,9.5,45º
C118,25623070,76768400,MOTOR 1300 / 1500 -1.3 DIESEL,E,32.1,24.3,9.5,45º
C277,25624070,76168390,MOTOR 1500 ,A,37.1,31.2,9.4,
C222,,4354246,1.7 DIESEL,A,39.1,33.6,9.5,45º
C223,,4354247,,E,35.1,29.7,9.5,45º
C278,231772070,500311083,DUCATO 2.8,A,42.26,34.05,6.98,45º
C279,231773070,500311085,,E,37.5,31.17,6.98,45º
C119,,,150 TURBO-IVECO,A,46.15,37,7.5,30º
C120,,98495493,,E,39.15,31.1,7.46,30º
C220,,,1500,A,37,31,7,45º
C221,,,,E,33,26,7,45º
C257,,,400 - CP3,A,46.17,38.2,8.2,45º
C258,,,,E,39.17,31.2,8.2,45º
C115,,4671769,619N - N1,A,61.08,51.84,8,45º
C116,,4671770,,E,51.09,43.1,8,45º
C218,,,750,A,27.02,20.8,6,45º
C219,,,,E,25.02,20,6,45º
C259,,,DUCATO DAILY 2.5,A,43.3,34.5,8.2,45º
C260,,,,E,35.3,29.4,8.2,45º
C261,,4849707,IVECO TURBO 190,A,59.07,48,9,30º
C262,,4673864C.61,,E,51.07,41.1,9.95,30º
C237,,,TIPO 1.4,A,38.35,33,8.6,45º
C225,,,,E,32.65,27,8.6,45º
C311,,,TIPO 1.6,A,40.15,35.5,9.5,45º
