Marca/Make,Motor/Engine,"Nº Original / 
OEM #",Nº  300 INDY,A/E,D.E,D.I,L,Mat,Shape,"Cant.  por juego /
 Qty per box"
YAMAHA," Yamaha R1 (2000), 150cv (110Kw-147hp), 4 cil, 1000 cm3",,G3664B,,10.05,4.5,33,B,P-1,
PEUGEOT,TU4 C3 AIR CROSS / PICASSO (AMLAT) SUV 1.45 i CVM 5 DAM: 14470778,,G3666B,,11.07,6.01,44,B,F,4
DFSK,"DFSK UTILITARIO C32 1,5L 101 CV",,G3667,A-E,10.07,5.02,34.5,FG,,
RENAULT,"GUIA VALVULA RENAULT MASTER 3 2,3 16V M9T",,G3668B,A-E,11.04,6,42.5,B,,
PERKINS,"Perkins 1106-E60TA VK BUILDS / Fractured Split Rod - 1006.60T YG, YH, YK, YJ Builds /Fractured Split Rod - 1004.42 Fractured Split Rod - 1004.40/40T / Fractured Split Rod",3318A705,G3671,E,14.04,9.01,51.25,FG,A-1,
PERKINS,Perkins 4.203.2 Lip Seal - 4 CyL Perkins 4.108 Marine - 4 CyL Perkins D4.203 - 4 CyL,33261723,G3672,A/E,12.762,7.997,61.9,FG,A,4
CATERPILLAR,GUIDE. VALVE. 3044C/3046 4 CyL - 6 Cy,B103-9247,G3673,,12.045,8,50,FG,A,4/6
PERKINS,1004/10 1100 - 4 CyL / 6 CyL,3313A012,G3674,A,13.05,9.01,51.25,FG,A-1,4/6
PERKINS,Marine/Industrial GUIDE. VALVE. INTAKE 4.108 4 CyL,3313E001,G3675,A,12.75,8,57,FG,A,4
PERKINS,704-30 (UC) Turbocharged - 4 CyL 704-30 (UA) Naturally Aspirated - 4 CyL,3318A702,G3676,,12.04,6.99,45.7,FG,A-1,4
NAVISTAR INTERNATIONAL,TRUCK DT408/DT530/DT530E HEUI/DT466E HEUI Engines application,1824647,G3677,,15.91,9.52,66.4,FG,A,
PERKINS,"1104D-E44T (NP) / 1104D-E44TA (NR) - 4 Cyl 1106C - E66TA (PK) / 1106D - E66TA (PJ) - 6 Cyl
1104D-E44TA (NJ) / 1104D-E44T (NH)",3313A035,G3678,A/E,10.04,6,46.3,FG,P,4/6
YANMAR,TNE/V 84/86/88/98 3 CyL / 4 CyL,Y129150-11810,G3679,E,13.04,8,46,FG,A-1,3/4
YANMAR,"TNE/V 84/86/88 4TNV88-3TNV88-TK486V-4TNV84-3TNV84-4TNE88- 3TNE88-TK486-4TNE84
3 CyL / 4 CyL",Y120130-11860,G3680,A,13.04,8,49,FG,A-1,3/4
CUMMINS,SERIE B  - TURBOCHARGED AFTERCOOLED / EMISSION / NON - 6 CyL QSB - TURBOCHARGED -6 CyL / 4 CyL,C3904408,G3681,,14.04,8.03,60.45,FG,A,4/6
CUMMINS,SERIE B 6BTA 5.9 / 6BT 5.9 / 6BT 5.9 QSB / 4BT 3.9 QSB (4 CyL) - TURBOCHARGED - AFTERCOOLED EMISSION - NON / EMISSION 6 CyL,C3904409,G3682,,14.04,8.03,51.7,FG,A,4/6
JOHN DEERE,"PowerTech 6090 9.0L Tier 4 - 6 CyL
9.0L Tier 2 & Tier 3 - 6 CyL",R527286,G3683,A/E,13.55,8.035,62.6,FG,A,6
CUMMINS,"6C 6CTA / CT 8.3
TURBOCHARGED / AFTERCOOLED - 6 CyL",C3923564,G3684,,16.01,9.55,72,FG,A-1-1,6
PERKINS,"T6.354.4 (TU) - TURBOCHARGED - 6 CyL 1006.60T (YE, YD) - Grade L/TURBOCHARGED/Lip Seal - 6 Cyl
1004.40T (AB) - TURBOCHARGED/ INTERCOOLED Lip Seal - NATURALLY ASPIRATED- 4 Cyl",3343F002,G3685,A,15.93,9.51,57.94,FG,F,4/6
PERKINS,"1006.60T (YE, YD) - Grade L - TURBOCHARGED/ INTERCOOLED Lip Seal - 6 Cyl T6.354.4 (TU) - TURBOCHARGED - 6 Cyl",3343J002,G3686,,15.912,9.53,61.12,FG,F,
INTERNATIONAL,"DT466 - Perkins 1300 Series/To ESN 440,035 - 6 CyL DT436 / DT437 / DT414 / DT360 - IHC Navistar - 6 CyL",675439,G3687,,15.9,9.52,69.9,FG,A,6
CUMMINS,"GUIDE, VALVE THIN WALL . 4B.6B 6BT 5.9 QSB-TURBOCHARGED-6 Cyl
4BT 3.9 QSB-8 VALVE TURBOCHARGED-4 Cyl
6BTA 5.9-TURBOCHARGED AFTERCOOLED-6 Cyl",C3906206,G3688,,11.16,8.03,63.5,FG,A,4/6
PERKINS,4.318 (NC)-Rope & Lip Seal-4 Cyl,33432532,G3689,A/E,15.92,9.52,67.3,FG,M,4
JOHN DEERE,"4.270-To ESN 280,000-4 Cyl 6.404D-To ESN 214,999-6 Cyl",R28654,G3690,,15.88,9.53,84.3,FG,F,4/6
CITROEN,C4 CACTUS BERLINA 5 PUERTAS 1.2 i THP 110(EB2DT M) 3cil,,G3691B,E,9.05,5.19,36.7,B,A,6
FORD,Focus/Nova Ecosport/ Fusion - Duratec 2.0 16v Flex - Duratec 2.3 16v Gas. 2005/2006,157G/6510/AC,G3692,A/E,11.04,5.51,39,FG,A,8
FORD,Focus/Nova Ecosport/ Fusion - Duratec 2.0 16v Flex - Duratec 2.3 16v Gas. 2005/2006,157G/6510/AC,G3692B,A/E,11.04,5.51,39,B,A,8
RENAULT,GUIA DE VALVULA RENAULT KWID B4D ,,G3731,A-E,9.035,5.01,34.1,FG,,
PEUGEOT,GUIA DE VALV. PEUGEOT XU10/2C-XUJ2,,G3732B,A,13.06,8.01,45,B,N,8
PEUGEOT,GUIA DE VALV. PEUGEOT XU10/2C-XUJ2,,G3733B,E,13.06,8.01,50,B,N,8
VOLVO,GUIA DE VALV. VOLVO 850 - V40 16v,,G3734,A-E,12.01,7,45.1,FG,,
VOLVO,GUIA DE VALV. VOLVO 540 - 2.0 16v,,G3735,A-E,12.01,6,45,FG,,
FORD,GUIA VALVULA FORD FORD - ECOSPORT / KA / TERRITORY (motor DRAGON 1.5l 3 cil) 2018- ….,,G3737,A-E,10.05,5.49,38,FG,A,4
FORD,GUIA VALVULA FORD FORD - ECOSPORT / KA / TERRITORY (motor DRAGON 1.5l 3 cil) 2018- ….,,G3737B,A-E,10.05,5.49,38,B,A,4
