CATÁLOGO DE VÁLVULAS 3B 2024,,,,,,,,,,,,,,,,,,,,
"Motor 
Engine","Aplicación 
Application","Cil 
Cyl","D
G","Nº 3B 
3B P/N","Sup Vast.   
Stem Over Size.","Ø Vástago     
Stem","Ø Cabeza      
Head","Largo Total 
Length",º,TIPO CHAV,CAB,#OE,#OE,#OE,#OE,#OE,#OE,#MORESA,#EDIVAL,
,ACURA,,,,,,,,,,,,,,,,,,,
2.0 Lts. SI / CRV-4 2.4 Lts.,Civic / CRV-4 / Element / Accord / Acura TSX,4,G,4252-A,STD,5.47,35,109.1,45º,2,C,14711-PNA-000,,,,,,V-7113,,
Motor K20A / K24A / K24A8 / K24Z6 / 424Z1 L4 2.4Lts 16V,,,,4253-E,STD,5.45,30,108.75,45º,2,C,14721-PNA-000,,,,,,V-7051,,
L4 16v. 2.3lt. - F23A1 / F23A4 / F23A7,ACURA CL,4,G,4306-AN,STD,5.49,34.01,115.85,45º,2,C,14711POHA00,,,,,,V-7053,,
V6 24v. 3.0lt. - J30A1,,,,4163-EN,STD,5.452,29,114.2,45º,2,C,14721P0HA00,,,,,,S-7054,,
J35A6/J35A7 / J35A9 / J32A3 / J35A5-,Acura TL / MDX ,6,G,4264-AN,STD,5.48,35,116,45º,2,C,14711P8EA00,,,,,,V-7241,,
 V6 - 3.0lt. / 3.2lt. / 3.5lt. - 24v. ,,,,4265-EBN,STD,5.46,30.1,114.3,45º,2,C,14721P8EA00,,,,,,,,
C35A1- V6 3.2Lts/ 3.5Lts 24v,Acura RL / Legent,6,G,4362-AN,STD,5.476,33,114.85,45º,2,C,14711PY3000,,,,,,,,
,,,,4363-EBN,STD,5.45,28,117,45º,2,C,14721PY3000,,,,,,,,
"V6 3471cc (3.5L), SOHC, GAS, FI, 24 VALVE, J35Z2","Accord/ Crosstour/ Odyssey/ Pilot/ Ridgeline
RDX-RLX-TL-TSX-ZDX",6,G,4604-AN,STD,5.489,36,117,45º,2,C,,,,,,,V-7239,,
"V6 3664 cc (3.7L), SOHC, GAS, FI, 24 VALVE J37A4",,,,4265-EBN,STD,5.46,30.1,114.3,45º,2,C,14721P8EA00,,,,,,,,
,AGRALE,,,,,,,,,,,,,,,,,,,
"M90 / M93ID  
(1985-93)",Tractor 4100,1 ,D,3326-A,STD.,7.952,41.1,121.5,45º,9,C,7006006005003,,,,,,,6253-A,
,,,,3327-E,STD.,7.952,35.1,121.5,45º,9,C,7006006006001,,,,,,,6253-E,
M-790,Tractor T440 / 4200,2,D,3924-A,STD.,8.955,39,132,45º,2,C,,,,,,,,,
,,,,3925-E,STD.,8.955,35,132,45º,2,C,,,,,,,,,
D225 / D226 (MWM),Truck TX 1600 / 1800,4 / 6 ,D,565-AC,STD.,8.96,41,117,45º,4,A,922604600054,,,,,,,6151 A,
,,,,1565-ECB,STD.,8.961,38,117,45º,4,A,930804600024,,,,,,,26153 E,
TD225 / TD229 (MWM),Truck ( MWM - Turbo),6,D,3390-AC,STD.,8.96,42,117.1,30º,4,C,922904608094,,,,,,,6153 A,
,,,,1565-ECB,STD.,8.93,37.99,117,45º,4,A,930804600024,,,,,,,26153 E,
4.07 / 6.07 Lts. - 12V   (MWM),Furgovan ,4,D,3546-AC,STD.,6.95,33,105,30º,4,A,961004600024,,,,,,,6156 A,
,,,,3547-ECB,STD.,6.95,40,105.1,45º,4,A,940704600034,,,,,,,26156 E,
"7.0 /7.5 / 8.5
Motor MWM  4.10 / 6.10",Agrale,4 / 6 ,D,3422-AC,STD.,8.96,45,126,30º,4,A,91004600034,,,,,,,6154 A,
,,,,23423-ECB,STD.,8.96,41,126,45º,4,C,961004600024,,,,,,,26154 E,
,ALFA ROMEO,,,,,,,,,,,,,,,,,,,
1.3lt TDI 16v.,Mito,4,D,4382-AC,STD,5.985,21.9,109.3,45º,4,A,46518930,,,,,,,,
,,,,4383-EC,STD,5.975,21.9,109.2,45º,4,A,93190438,,,,,,,,
