3B,MAHLE,EDIVAL,ORIGINAL,FABRICANTE
3326 A,VA0060903,6253 A,7006.00600500.3,AGRALE
3327 E,VE0060323,6253 E,7006.00600600.1,AGRALE
3316 AC,VA0250500,21167 A,60808694,ALFA ROMEO
3317 EC,VE0250501,21167 E,60808695,ALFA ROMEO
3736 AC,VA0250168,1144 A,60811153,ALFA ROMEO
3737 ECBS,VE0250169,21144 E,60811154,ALFA ROMEO
3191 EB,VE0700286,21711 E,074 109 611,AUDI
3310 A,VA0700757,1219 A,026 109 601-C,AUDI
3482 AB,VA0700780,21927 A,028 109 601 H,AUDI
3483 EB,VE0700781,21927 E,046 109 611 F,AUDI
3488 AS,VA0700242,1707 A,058 109 601 C,AUDI
3489 ECBS,VE0700243,21707 E,058 109 611 E,AUDI
101 A,VA0730792,2001 A ,7125556,BEDFORD
101 A+0.8,VA0730792+08,2001 A+08,,BEDFORD
103 A,VA0730794,2017 A,5751532-6384866,BEDFORD
103 A+0.8,VA0730794+08,2017 A+08,,BEDFORD
1102 E,VE0730793,22001 E,7147912,BEDFORD
1102 E+0.8,VE0730793+08,22001 E+08,,BEDFORD
1104 EP,VE0730795,22017 E,5754448-6366427,BEDFORD
1104 EP+0.8,VE0730795+08,22017 E+08,,BEDFORD
1457 EC,VE1400817,21950 E,1280643,BMW
23179 ECBS,VE1401179,21949 E,11341727352,BMW
3178 A,VA1401176,1949 A,11341727358,BMW
3448 A,VA1401177,1952 A,1720827,BMW
3449 ECBS,VE1401180,21952 E,1720828,BMW
4026 AN,VA1401226,1948 A,11341739820/822,BMW
4027 EPN,VE1400820,21948 E,11341739821/823,BMW
457 A,VA1400816,1950 A,1265453-1267721,BMW
108 A,VA3200866,1061 A,1113041000,BORGWARD
108 A+0.8,VA3200866+08,1061 A+08,,BORGWARD
1109 E,VE3200867,21061 E,1113041100,BORGWARD
1109 E0.8,VE3200867+08,21061 E+08,,BORGWARD
1253 E,VE3200865,1033 E,E41-14-2,BORGWARD
1253 E+0.8,VE3200865+08,1033 E+08,,BORGWARD
