MAHLE,EDIVAL,3B,ORIGINAL,FABRICANTE,
VA0060902,6252 A,,7004.00600500.8,AGRALE,
VA0060903,6253 A,3326 A,7006.00600500.3,AGRALE,
VA0060904,6254 A,,7007.00600500.1,AGRALE,
VC0060905,6250 AE,,7008.00600500.9,AGRALE,
VE0060323,6253 E,3327 E,7006.00600600.1,AGRALE,
VE0060906,6252 E,,7004.00600600.6,AGRALE,
VE0060907,6254 E,,7007.00600600.9,AGRALE,
VA0250168,1144 A,3736 AC,60811153,ALFA ROMEO,
VA0250500,21167 A,3316 AC,60808694,ALFA ROMEO,
VA1980840,1143 A,,60540326,ALFA ROMEO,
VA1980842,21142 A,,19536.03300.00,ALFA ROMEO,
VE0250169,21144 E,3737 ECBS,60811154,ALFA ROMEO,
VE0250501,21167 E,3317 EC,60808695,ALFA ROMEO,
VE1980841,21143 E,,60540325,ALFA ROMEO,
VE1980843,21142 E,,19510.03301.05,ALFA ROMEO,
VA3181202,501 A,,,ALPINO,
VE3181203,501 E,,,ALPINO,
VA1211172,1036 A,,3218732,AMERICAN MOTORS,
VE0090908,21037 E,,3224597,AMERICAN MOTORS,
VA0700242,1707 A,3488 AS,058 109 601 C,AUDI,
VA0700757,1219 A,3310 A,026 109 601-C,AUDI,
VA0700776,21711 A,,069 109 601 H,AUDI,
VA0700780,21927 A,3482 AB,028 109 601 H,AUDI,
VA0700784,26218 A,,068 109 601 D,AUDI,
VA0701129,21926 A,,028 109 601 A,AUDI,
VE0700243,21707 E,3489 ECBS,058 109 611 E,AUDI,
VE0700286,21711 E,3191 EB,074 109 611,AUDI,
VE0700770,21219 E,,053 109 611,AUDI,
VE0700778,21717 E,,058 109 611 M,AUDI,
VE0700781,21927 E,3483 EB,046 109 611 F,AUDI,
VE0700785,26218 E,,068 109 611 D,AUDI,
VE0701136,21926 E,,046 109 611 C,AUDI,
VA0730792,2001 A,101 A,7125556,BEDFORD,
VA0730792+08,2001 A+08,101 A+0.8,,BEDFORD,
VA0730794,2017 A,103 A,5751532-6384866,BEDFORD,
VA0730794+08,2017 A+08,103 A+0.8,,BEDFORD,
VE0730793,22001 E,1102 E,7147912,BEDFORD,
VE0730793+08,22001 E+08,1102 E+0.8,,BEDFORD,
VE0730795,22017 E,1104 EP,5754448-6366427,BEDFORD,
VE0730795+08,22017 E+08,1104 EP+0.8,,BEDFORD,
VA1400816,1950 A,457 A,1265453-1267721,BMW,
VA1400818,1951 A,,1257592,BMW,
VA1401176,1949 A,3178 A,11341727358,BMW,
VA1401177,1952 A,3448 A,1720827,BMW,
VA1401178,21953 A,,2242624,BMW,
VA1401226,1948 A,4026 AN,11341739820/822,BMW,
VE1400817,21950 E,1457 EC,1280643,BMW,
VE1400819,21951 E,,1250129,BMW,
VE1400820,21948 E,4027 EPN,11341739821/823,BMW,
VE1401179,21949 E,23179 ECBS,11341727352,BMW,
VE1401180,21952 E,3449 ECBS,1720828,BMW,
VE1401181,21953 E,,2242623,BMW,
VA0040322,21054 A,1567 ACP,20360026A,BORGWARD,
VA3200864,1033 A,252 A,E41-14-1,BORGWARD,
VA3200864+08,1033 A+08,252 A+0.8,,BORGWARD,
VA3200864+1,1033 A+1,,,BORGWARD,
VA3200866,1061 A,108 A,1113041000,BORGWARD,
VA3200866+08,1061 A+08,108 A+0.8,,BORGWARD,
VE0040322,21054 E,1567 ECBM,20370025A,BORGWARD,
VE3200865,1033 E,1253 E,E41-14-2,BORGWARD,
VE3200865+08,1033 E+08,1253 E+0.8,,BORGWARD,
